Name,Date,Month,Event Type,Event Status,Event Size,Speaker / Resource,Resource Status,Lifelong Learning Categories,Topic Category,Target Audience,Event Category,Event Description,COR / Open to Region,City/Country,Collaboration w/other Chapters,Notes / Comments,Launch Timing,Day Chair Name,Chapter Name,Day Chair Name 2
AI Workshop,2025-09-27,September,Lunch & Learn,Scheduled,Medium (15–50),Mark Troy,Confirmed,Business Innovation,AI & Technology,"YNG,Members,Spouses (Mixed)",Learning,Work Shop on AI Innovation,Not Open to Region,In Person,No,,2025-07-01,Saad Asghar Ali,YPO Bahrain Integrated,
EY IPO Readiness,2025-10-08,October,Lunch & Learn,Scheduled,Medium (15–50),EY,Confirmed,Business Leadership,"Leadership,Entrepreneurship,Collaboration",Members,Learning,EY Session On IPO readiness ,Not Decided Yet,Bahrain,No,discussion with senior leaders.,2025-07-01,TBC,YPO Bahrain Integrated,
In The Board Room Watch CEO,2025-10-20,October,In the Boardroom,Planning Stage,Medium (15–50),TBC,Under Negotiation,Business Leadership,Leadership,Members,Learning,Transformative story of a Watch Brand,Not Open to Region,Bahrain,No,,2025-07-01,Hamad Junaid,YPO Bahrain Integrated,
MIT Professor ,2026-11-29,November,Lunch & Learn,Planning Stage,Medium (15–50),Dr. Jehangir Amjad,Under Negotiation,Business Innovation,AI & Technology,"Members,Spouses (Mixed)",Learning,Business Growth,Not Decided Yet,Bahrain,TBC,,2026-09-16,TBC,YPO Bahrain Integrated,
Unleashing Board Value,2026-11-08,November,Lunch & Learn,Confirmed,Medium (15–50),Jaime Grego-Mayor,Confirmed,Business Growth,"Entrepreneurship,Leadership,Family Business",Members,Learning,Explore how boards can truly unleash value.,Not Open to Region,Bahrain,No,,2026-11-05,TBC,YPO Bahrain Integrated,
AI Workshop ,2027-01-09,January,Training,Confirmed,Medium (15–50),Aditya Berlia,Confirmed,Business Innovation,AI & Technology,"Members,Spouses (Mixed),YNG",Learning,AI Innovation and Updates,Not Open to Region,Bahrain,No,,2026-11-11,TBC,YPO Bahrain Integrated,
Health and Wellness,2027-03-25,March,Experiences,Planning Stage,Medium (15–50),TBC,Under Negotiation,Personal Development,"Longevity,Wellness","Members,Spouses (Mixed)","Learning,Connection",Biohacking Longevity,Not Open to Region,Bahrain,No,,2027-01-06,Fatima Abul,YPO Bahrain Integrated,
Shark Tank,2026-09-05,September,Other,Confirmed,Medium (15–50),,Confirmed,Business Innovation,Entrepreneurship,"children,YNG",Learning,Shark Tank innvation ,Open to Region,Virtual/ Saudi,Yes,,2026-07-06,TBC,YPO Bahrain Integrated,
Rob Follows,,April,Lunch & Learn,Planning Stage,Medium (15–50),Rob Follows,Under Negotiation,Business Growth,"Investing,Leadership",Members,Learning,,Open to Region,Bahrain/ Kuwait,Yes,,,TBC,YPO Bahrain Integrated,
Fishing in the South,,May,Experiences,Planning Stage,Medium (15–50),Marine Biologist,Wishlist,Adventures and Experiences,Sustainability,"Members,Family",Fun,"* Two-format weekend: deep sea by day, fireside forum stir-fry by night
* Capped to keep the bonding intimate to 20
* marine biologist for a short session on Red Sea conservation",Not Open to Region,Marsa Allam / Egypt,No,"CORE event, 30 members plus child
* Two fishing liveaboards from Marsa Allam",2027-03-01,Mounir Awad / Khaled Shetta,YPO Cairo Integrated,
Dahab / Blue Hole + Breathing retreat,,,Retreat,Confirmed,Medium (15–50),World-class freediver or breathwork instructor,Wishlist,Adventures and Experiences,Wellness,"Members,Spouses (Mixed)","Learning,Fun","* Physical challenge meets mindfulness.
* Freediving instruction paired with daily breathwork (Wim Hof or pranayama tradition)
* a world-class freediver or breathwork instructor as the anchor resource
* Pair the Blue Hole experience with a sunset reflection circle on fear and trust
",Not Open to Region,Dahab / Egypt,No,"CORE Event. Budget 20,000+ co.payment for activities",2026-09-15,Kamal Zaki / Hend Hafez,YPO Cairo Integrated,
Art Basel,2027-06-10,June,Experiences,Confirmed,Medium (15–50),Alia Hamza,Confirmed,Adventures and Experiences,Art,"Members,Family",Fun,"Curated group trip to Art Basel with an Egyptian artist or curator as second voice. Bonding through shared viewing, then long dinners.",Open to Region,Basel / Switzerland,Yes,,2027-04-10,Nora Holi or Alia Hamza,YPO Cairo Integrated,
HBS flagship - Back to School ,2027-04-15,April,Training,Confirmed,XXL (100+),Boris Groyceberg,Confirmed,Business Leadership,Leadership,"Spouses (Mixed),Members",Learning,"* Member-pay, breakeven model with HBS resource.
* Special dinner for members and spouses. 
* Structured study groups so members mix beyond their forum/ network of friends in the chapter 
* Up to 5 executives per member. Total of 150 max.



",Open to Region,"Cairo, Egypt",Yes,"CORE event. Budget 25,000 
Boris fee USD 150K. Third day will by paid by EVA group for private consultation so cost on ypo is 100 USD plus expenses ",2026-04-15,Mohamed Kamel,YPO Cairo Integrated,
AI - Part 1,,January,Training,Planning Stage,Large (50-100),,Under Negotiation,Business Innovation,AI & Technology,"Members,Family",Learning,"The anchor business-transformation
Part 1: What will be disrupted (sector-by-sector) - in Jan. Week starting 10th",Not Open to Region,"Cairo, Egypt",No,"CORE event. Budget 10,000.",2026-11-01,TBD,YPO Cairo Integrated,
Social Media Marketing Event ,,,Lunch & Learn,Confirmed,Medium (15–50),Marketer + Gen Z creator,Confirmed,Business Growth,Entrepreneurship,Members,Learning,"* Case studies driven — show two Egyptian brands that got it right and two that got it wrong. 
* Gen Z creator alongside the marketer for generational contrast",Not Open to Region,"Cairo, Egypt (corporate venue of the member company that is sponsoring)",No,"CORE event. Budget 15,000. Member company to sponsor the resource.",,Natalie Ashba ,YPO Cairo Integrated,
YPO Gold - Estate planning,,,In the Boardroom,Planning Stage,Medium (15–50),Private Bank resource with a family lawyer,Wishlist,Generational Success,"Investing,Estate","Gold Members,Spouses (Mixed)",Learning,"* Pair the banker with a family lawyer who has handled messy successions — the cautionary voice.
* Optional spouse track or full-couple format",Not Open to Region,"Cairo, Egypt",No,"CORE event. Budget 5,000 ",,TBD,YPO Cairo Integrated,
YPO Gold - Family Business Succession,,,Experiences,Confirmed,Medium (15–50),Tharwat + next-gen family member,Confirmed,Generational Success,Family Business,Gold Members,Learning,"* Framed as ‘how to have the conversation’ rather than ‘how to structure the transition’.
* Next-gen family member from another business.
",Not Open to Region,"Cairo, Egypt",No,"Budget 10,000",,"Tamer Nassar
",YPO Cairo Integrated,
Longevity Live to the max ,,,Experiences,Confirmed,Large (50-100), (Longevity physician) + Nutritionist + Exercise physiologist,Under Negotiation,Personal Development,"Wellness,Longevity","Members,Spouses (Mixed)",Learning,"* Members should complete full-body MRI (Prenuvo-style) and comprehensive blood panels 6-8 weeks before the event
* Event day: a leading longevity physician (Peter Attia–style) reviews aggregate findings, then individual consultations, pair with a nutritionist and an exercise physiologist for actionable plans
* Each member leaves with a personal 10-year health roadmap
",Not Open to Region,"Cairo, Egypt",No,"CORE Event. Budget 20,000. Limitless naturals will sponsor ",,Riad Armanious / Nadine El Alaily,YPO Cairo Integrated,
Kid's University Admission CORE,,December,Lunch & Learn,Confirmed,Medium (15–50),Tarek Sakr + recent YPO kid now in university ,Confirmed,Family Focus,Parenting,"Members,YNG,Family",Learning,"* Paired voices the consultant with two recent YPO kid who’s now in university.
* split sessions: one for parents, one for teens",Not Open to Region,"Cairo, Egypt",No,Around Christmas break. 30 children max.,,Tarek Sakr,YPO Cairo Integrated,
Being an Addict,,,Fireside Chat,Confirmed,Medium (15–50),,Pending,Personal Development,Mental Health,Members,Learning,"* Personal lessons of addiction, bad company, and bad habits. 
* Open-mind topic, handled with care",Not Open to Region,"Cairo, Egypt",No,"Budget 2,000",,Natalie Ashba ,YPO Cairo Integrated,
"The Art of Desire: Intimacy, Eroticism & Human Connection",2027-02-14,February ,Fireside Chat,Confirmed,Medium (15–50),Mint El Mokadem (Somatic sexologist) + possibly Esther Perelman,Under Negotiation,Personal Development,Relationships,"Members,Spouses (Mixed)",Learning,"* Intimate, closed-door Valentine’s event followed by dinner.
* Edgy topic delivered with sensitivity and the right expert voice
* A talk, maybe with Q&A (Mint would develop the format)
",Not Open to Region,"Cairo ( Studio Samara), Egypt",No,"Budget USD 10,000. Giveaway gift idea: Esther Perel’s own board game",2026-12-14,Karin Abdullah / Ehab el Zorba,YPO Cairo Integrated,
What’s My Number — The Conversation No One Has at Parties,,,In the Boardroom,Planning Stage,Medium (15–50),Behavioural economist or wealth psychologist,Wishlist,Business Growth,Investing,Members,Learning,"* Closed-door, member-only frank workshop on what ‘enough’ actually means — for money, success, time. 
* Each member privately writes their number — net worth needed, years of work left, success markers — before any group discussion
* Structured peer rounds in groups of four — share what you’re willing to share
* Ends with each member writing one decision they’ll make differently in the next 12 months
",Not Open to Region,"Cairo, Egypt",No,"Budget 2,000",,TBD,YPO Cairo Integrated,
Library of Lost Wisdom,2026-06-24,,Experiences,Planning Stage,Medium (15–50),3 Elder family members (70+) ,Pending,Generational Success,Family Business,Members,"Learning,Connection","* Intergenerational salon where members bring a parent or grandparent to share 20 minutes of hard-won wisdom.
* Member homes as venue; intimate format, evening, simple meal
* Curated themes per evening: building a business in the 60s/70s, raising children through wars, family across borders
",Not Open to Region,"Cairo, Egypt",No,"CORE Event. Budget 2,000",,TBD,YPO Cairo Integrated,
AI - Part 2,,,Training,Planning Stage,Large (50-100),Mohamed Kamel,Confirmed,Business Innovation,AI & Technology,"Members,Family",Learning,"The anchor business-transformation. 
Part 2: AI plan for your business with HBS resource
* AI plan for your business with HBS resource (if sponsor pays)  — strategy workshop, each member leaves with a one-page plan
",Not Open to Region,"Cairo, Egypt ",No,"CORE event. Budget 10,000.",,TBD,YPO Cairo Integrated,
The AI CEO Decision Lab with Aman Merchant,2026-08-06,August,Learning ,Confirmed,Medium (15–50),Aman Merchant,Confirmed,Business Leadership,"AI & Technology,Technology","Members,Spouses (Mixed),Gold Members",Learning,"The AI CEO Decision Lab with Aman Merchant, an interactive session designed specifically for business leaders to explore the decisions AI should (and shouldn't) influence.
",Open to Region,"Pakistan, Karachi",No,Postponed as the speaker son passed away and could not fly to Pakistan,2026-07-10,Zeeshan Aftab,YPO Capital Pakistan,
SAVE THE DATE | Investment Made Simple ,2026-08-20,August,Peer Learning Event (PLE),Confirmed,Medium (15–50),Mashal Khan,Confirmed,Business Growth,Finance,"Spouses (Mixed),YNG",Finance Professional Development Education/Learning,"Whether you’re completely new to investing or simply curious about how the stock market works, this interactive session will help you understand the fundamentals of investing, build financial confidence, and learn from one of Pakistan’s leading brokerage firms.",Not Open to Region,Karachi/Pakistan,No,,2026-08-02,Nissa Bukhari and Mehreen Bilal,YPO Capital Pakistan,
Educational / Learning Event - Visit to Port,2026-10-10,October,Needs and Leads,Confirmed,Medium (15–50),,Confirmed,Business Leadership,"Entrepreneurship,Sustainability,Innovation,Technology","Members,Female Spouses","Learning,Connection",Visit to the Deep Sea Port of Pakistan. We will have an exclusive session with the 3 CEOs Pakistan's largest Container and Bulk Ports. ,Not Open to Region,"Pakistan, Karachi",No,,2025-09-15,,YPO Capital Pakistan,
EY MENA Economic Outlook,2026-09-18,September,Conference,Planning Stage,Small (10–15),EY,Under Negotiation,Business Leadership,Leadership,"Members,Spouses (Mixed),Gold Members",Learning,Ernst & Young YPO Partnerships Program,Not Open to Region,"Dubai, UAE",No,,2026-09-01,TBC,YPO Dubai Integrated,
"Sex, Intimacy and everything in between with Dr. Jess",2026-09-20,September,Other,Confirmed,Large (50-100),Dr Jess O'reilly,Confirmed,Personal Development,Relationships,"Members,Gold Members,Spouses (Mixed)","Learning,Connection",Exploring your relationship with your spouse or partner.,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Bianca Chalfoun,YPO Dubai Integrated,
"Future Intelligence, Leading In The Age Of AI with Mo Gawdat",2026-09-28,September,Fireside Chat,Confirmed,Large (50-100),Mo Gawdat,Confirmed,Personal Development,"AI & Technology,Mental Health,Leadership","Spouses (Mixed),Members,Gold Members",Learning,,Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,Nitesh Shewakramani,YPO Dubai Integrated,
The Opening Table: YPO Dubai Gold,2026-09-27,September,Experiences,Confirmed,Medium (15–50),Chef,Pending,Adventures and Experiences,Other,"Gold Members,Spouses (Mixed)","Fun,Connection",Gold social in a fine dining restaurant,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Salim Dewji,YPO Dubai Integrated,
Legacy That Transforms with Sebastian Marroquin,2026-10-02,October,Other,Confirmed,XXL (100+),Sebastian Marroquin,Confirmed,Personal Development,"Other,Relationships","Members,Spouses (Mixed),Gold Members",Learning,Fireside chat and deep dive with the son of Pablo Escobar,Open to Region,"Dubai, UAE",Yes,,2026-09-01,Sasha Marashlian,YPO Dubai Integrated,
Petrus at the Pinnacle: An Iconic Tasting Experience at Burj Al Arab,2026-10-10,October,Experiences,Confirmed,Small (10–15),Eric Simonet,Confirmed,Personal Development,Other,"Gold Members,Spouses (Mixed)","Fun,Connection,Learning","An intimate evening with Petrus wines, fine dining, and elevated conversation at the very top of Burj Al Arab.",Not Open to Region,"Dubai, UAE",No,"In collaboration with Wine Network
",2026-09-01,Salim Dewji,YPO Dubai Integrated,
Cybersecurity Bart Demczuk,2026-10-19,October,Training,Planning Stage,Medium (15–50),Bart Demczuk,Confirmed,Business Innovation,AI & Technology,"Members,Spouses (Mixed)",Learning,"An insightful session exploring today’s evolving cyber threats and how leaders can better protect their businesses, data, and digital world.",Not Open to Region,,No,,2026-09-15,Barbara Soltysinska,YPO Dubai Integrated,
SCALING UP IN UNCERTAINTY WITH VERNE HARNISH,2026-10-22,October,Other,Confirmed,Large (50-100),Verne Harnish,Confirmed,Business Growth,Other,"Members,Spouses (Mixed)",Learning,"Insights from Verne Harnish on scaling companies through strategy, discipline, and execution excellence.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,Vandana Gandhi,YPO Dubai Integrated,
