Name,Date,Month,Event Type,Event Status,Event Size,Speaker / Resource,Resource Status,Lifelong Learning Categories,Topic Category,Target Audience,Event Category,Event Description,COR / Open to Region,City/Country,Collaboration w/other Chapters,Notes / Comments,Launch Timing,Day Chair Name,Chapter Name,Day Chair Name 2
AI Workshop,2025-09-27,September,Lunch & Learn,Scheduled,Medium (15–50),Mark Troy,Confirmed,Business Innovation,AI & Technology,"YNG,Members,Spouses (Mixed)",Learning,Work Shop on AI Innovation,Not Open to Region,In Person,No,,2025-07-01,Saad Asghar Ali,YPO Bahrain,
EY IPO Readiness,2025-10-08,October,Lunch & Learn,Scheduled,Medium (15–50),EY,Confirmed,Business Leadership,"Leadership,Entrepreneurship,Collaboration",Members,Learning,EY Session On IPO readiness ,Not Decided Yet,Bahrain,No,discussion with senior leaders.,2025-07-01,TBC,YPO Bahrain,
In The Board Room Watch CEO,2025-10-20,October,In the Boardroom,Planning Stage,Medium (15–50),TBC,Under Negotiation,Business Leadership,Leadership,Members,Learning,Transformative story of a Watch Brand,Not Open to Region,Bahrain,No,,2025-07-01,Hamad Junaid,YPO Bahrain,
MIT Professor ,2026-11-29,November,Lunch & Learn,Planning Stage,Medium (15–50),Dr. Jehangir Amjad,Under Negotiation,Business Innovation,AI & Technology,"Members,Spouses (Mixed)",Learning,Business Growth,Not Decided Yet,Bahrain,TBC,,2026-09-16,TBC,YPO Bahrain,
Unleashing Board Value,2026-11-08,November,Lunch & Learn,Confirmed,Medium (15–50),Jaime Grego-Mayor,Confirmed,Business Growth,"Entrepreneurship,Leadership,Family Business",Members,Learning,Explore how boards can truly unleash value.,Not Open to Region,Bahrain,No,,2026-11-05,TBC,YPO Bahrain,
AI Workshop ,2027-01-09,January,Training,Confirmed,Medium (15–50),Aditya Berlia,Confirmed,Business Innovation,AI & Technology,"Members,Spouses (Mixed),YNG",Learning,AI Innovation and Updates,Not Open to Region,Bahrain,No,,2026-11-11,TBC,YPO Bahrain,
Health and Wellness,2027-03-25,March,Experiences,Planning Stage,Medium (15–50),TBC,Under Negotiation,Personal Development,"Longevity,Wellness","Members,Spouses (Mixed)","Learning,Connection",Biohacking Longevity,Not Open to Region,Bahrain,No,,2027-01-06,Fatima Abul,YPO Bahrain,
Shark Tank,2026-09-05,September,Other,Confirmed,Medium (15–50),,Confirmed,Business Innovation,Entrepreneurship,"children,YNG",Learning,Shark Tank innvation ,Open to Region,Virtual/ Saudi,Yes,,2026-07-06,TBC,YPO Bahrain,
Rob Follows,,April,Lunch & Learn,Planning Stage,Medium (15–50),Rob Follows,Under Negotiation,Business Growth,"Investing,Leadership",Members,Learning,,Open to Region,Bahrain/ Kuwait,Yes,,,TBC,YPO Bahrain,
Arctic Escape Retreat,2026-12-08,December,Retreat,Scheduled,Large (50-100),Polar Explorer / Climate scientist,Under Negotiation,Adventures and Experiences,"Leadership,Wellness","Spouses (Mixed),Members","Learning,Fun","Anchor destination experience of the year. 
Pair the trip with a deep theme - e.g. resilience, silence, or a leadership challenge under extreme conditions.
Build in two structured forum stir-fries to bookend the experience.",Not Open to Region,TBD,No,,2026-05-01,Natalie Ashba / Jenan Sheta,YPO Cairo,
